None,Aucun,module,Magento_AdminGws
"Allowed Scopes","Portées autorisées",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Permissions insuffisantes pour supprimer l'article(s): %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Permissions insuffisantes pour appliquer certaines règles de mises à jour.",module,Magento_AdminGws
"Please assign this entity to a store view.","Veuillez assigner cette entité à une vue magasin.",module,Magento_AdminGws
"You can create orders only in an active store.","Vous pouvez créer des commandes uniquement dans un store activé.",module,Magento_AdminGws
"Please assign this item to a store view.","S.V.P. lier cet article à une vue du magasin.",module,Magento_AdminGws
"You need more permissions to save this item.","Vous n'avez pas les droits requis pour sauvegarder cet élément.",module,Magento_AdminGws
"You need more permissions to delete this item.","Vous n'avez pas les droits requis pour supprimer cet élément.",module,Magento_AdminGws
"You need more permissions to view this item.","Vous n'avez pas les droits requis pour afficher cet élément.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Veuillez spécifier au moins un site web ou un groupe de magasins.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Vous n'avez pas les droits requis pour définir tous les contextes d'un rôle.",module,Magento_AdminGws
"Incorrect website ID: %1","ID de site web incorrect : %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Vous n'avez pas les droits requis pour accéder au site web « %1 ».",module,Magento_AdminGws
"Incorrect store ID: %1","Id de magasin incorrect: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Vous avez besoin de plus d'autorisations pour enregistrer ce paramètre.",module,Magento_AdminGws
"Role Scopes","Portées du rôle",module,Magento_AdminGws
Custom,Personnalisé,module,Magento_AdminGws
"Read Details","Lire les détails",module,Magento_AdminNotification
"Mark as Read","Marquer comme lu",module,Magento_AdminNotification
"Are you sure?","Êtes-vous sûr(e) ?",module,Magento_AdminNotification
Remove,Supprimer,module,Magento_AdminNotification
"Messages Inbox","Messages reçus",module,Magento_AdminNotification
"You have %1 new system messages","Vous %1 nouveaux messages système",module,Magento_AdminNotification
"You have %1 new system message","Vous %1 nouveaux messages système",module,Magento_AdminNotification
"Incoming Message","Message entrant",module,Magento_AdminNotification
close,Fermer,module,Magento_AdminNotification
"The message has been marked as Read.","Le message a bien été marqué comme lu.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue à cause d'une erreur.",module,Magento_AdminNotification
"Please select messages.","Veuillez sélectionner des messages.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Un total de %1 enregistrement(s) a(ont) été(s) marqué(s) comme lus.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 enregistrement(s) a (ont) bien été supprimé(s).",module,Magento_AdminNotification
