ID,ID,module,Magento_AdvancedCheckout
SKU,SKU,module,Magento_AdvancedCheckout
Subtotal,Subtotal,module,Magento_AdvancedCheckout
Subtotal:,Subtotal:,module,Magento_AdvancedCheckout
SKU:,SKU:,module,Magento_AdvancedCheckout
Item,Item,module,Magento_AdvancedCheckout
Sku,Sku,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedSearch
TestMessage,TestMessage,module,Magento_Analytics
API,API,module,Magento_Analytics
Vertical,Vertical,module,Magento_Analytics
Ok,Ok,module,Magento_Analytics
ID,ID,module,Magento_AsynchronousOperations
Status,Status,module,Magento_AsynchronousOperations
"Authorize.net Direct Post","Authorize.net Direct Post",module,Magento_Authorizenet
Total,Total,module,Magento_Backend
Status,Status,module,Magento_Backend
Home,Home,module,Magento_Backend
Magento,Magento,module,Magento_Backend
WK,WK,module,Magento_Backend
JavaScript/CSS,JavaScript/CSS,module,Magento_Backend
Marketing,Marketing,module,Magento_Backend
Design,Design,module,Magento_Backend
"Magento Connect","Magento Connect",module,Magento_Backend
"Connect Manager","Connect Manager",module,Magento_Backend
Admin,Admin,module,Magento_Backend
Web,Web,module,Magento_Backend
Tags,Tags,module,Magento_Backend
"Community Edition","Community Edition",module,Magento_Backend
Magento_Ui/js/dynamic-rows/record,Magento_Ui/js/dynamic-rows/record,module,Magento_Backend
Backups,Backups,module,Magento_Backup
Backup,Backup,module,Magento_Backup
FTP,FTP,module,Magento_Backup
Banners,Banners,module,Magento_Banner
ID,ID,module,Magento_Banner
Status,Status,module,Magento_Banner
Banner,Banner,module,Magento_Banner
MM,MM,module,Magento_Braintree
YY,YY,module,Magento_Braintree
Braintree,Braintree,module,Magento_Braintree
Status,Status,module,Magento_Braintree
MM,MM,module,Magento_BraintreeTwo
YY,YY,module,Magento_BraintreeTwo
BraintreeTwo,BraintreeTwo,module,Magento_BraintreeTwo
&nbsp;,&nbsp;,module,Magento_BraintreeTwo
Status,Status,module,Magento_BraintreeTwo
ID,ID,module,Magento_Bundle
SKU,SKU,module,Magento_Bundle
Checkbox,Checkbox,module,Magento_Bundle
"%1 x %2","%1 x %2",module,Magento_Bundle
Subtotal,Subtotal,module,Magento_Bundle
Status,Status,module,Magento_Bundle
Status,Status,module,Magento_BundleStaging
ID,ID,module,Magento_BundleStaging
SKU,SKU,module,Magento_BundleStaging
CAPTCHA,CAPTCHA,module,Magento_Captcha
ID,ID,module,Magento_Catalog
SKU,SKU,module,Magento_Catalog
[GLOBAL],[GLOBAL],module,Magento_Catalog
[WEBSITE],[WEBSITE],module,Magento_Catalog
Website,Website,module,Magento_Catalog
Global,Global,module,Magento_Catalog
Varchar,Varchar,module,Magento_Catalog
Decimal,Decimal,module,Magento_Catalog
Websites,Websites,module,Magento_Catalog
Status,Status,module,Magento_Catalog
Up-sells,Up-sells,module,Magento_Catalog
Cross-sells,Cross-sells,module,Magento_Catalog
Home,Home,module,Magento_Catalog
AM,AM,module,Magento_Catalog
PM,PM,module,Magento_Catalog
"1 item","1 item",module,Magento_Catalog
Manual,Manual,module,Magento_Catalog
"12h AM/PM","12h AM/PM",module,Magento_Catalog
24h,24h,module,Magento_Catalog
"%1 - %2","%1 - %2",module,Magento_Catalog
px.,px.,module,Magento_Catalog
